	TF	Target	Label
856	12404	15298	0
1568	28541	19404	0
895	9563	3615	0
761	31655	6966	1
1556	31889	8645	0
560	30567	7756	1
160	19196	36983	1
1100	18037	29668	0
1034	27125	7538	0
622	14554	18041	1
1208	12154	33538	0
12	27975	1635	1
582	23143	14462	1
88	9563	34992	1
830	12404	12783	0
931	33885	6184	0
1021	23451	2221	0
1331	29062	324	0
1521	12032	26789	0
180	36400	26349	1
357	26632	21760	1
87	9563	31881	1
1080	4614	16608	0
182	36400	29399	1
125	33240	14423	1
924	26518	8563	0
1064	12701	7280	0
903	14381	22677	0
1437	14554	3807	0
747	13378	17551	1
646	4020	27081	1
723	28638	13620	1
480	14020	31730	1
1037	27990	5671	0
637	22929	9291	1
1268	27123	7129	0
645	4020	17333	1
859	12404	6606	0
782	27341	28725	1
1444	22929	28207	0
770	31655	27557	1
486	5	14733	1
1372	30567	25703	0
1422	19447	4234	0
408	7390	19058	1
1169	21626	3467	0
911	13614	19761	0
1096	35279	14964	0
1360	29277	33715	0
226	27125	35319	1
650	8456	15381	1
383	6520	14753	1
519	29062	22562	1
252	9764	2921	1
466	36175	13591	1
844	12404	8787	0
1454	4020	26679	0
463	27123	35319	1
926	30121	28757	0
1059	29399	2952	0
587	15577	25908	1
764	31655	8224	1
1014	8682	2562	0
325	15512	34992	1
1176	3696	22249	0
686	19001	31655	1
64	8224	31171	1
636	22929	7466	1
449	5674	12168	1
907	18227	2623	0
1438	29146	12108	0
198	29980	34392	1
91	12670	27123	1
635	22929	4110	1
1295	5	35481	0
428	27203	13490	1
775	27341	3599	1
1451	14022	37066	0
912	29486	6317	0
308	27862	11740	1
343	33882	9360	1
600	31837	11740	1
1415	21701	8472	0
678	16964	7756	1
1432	14554	22407	0
350	30828	9291	1
44	12404	26928	1
908	18227	22530	0
1019	23451	18901	0
1559	28541	15808	0
372	1987	12154	1
700	21399	35922	1
263	1369	28790	1
1243	34007	35886	0
1530	36966	35213	0
719	36966	8342	1
909	2574	7348	0
559	30567	456	1
1239	27203	6821	0
1093	4614	31665	0
725	28638	30943	1
616	19447	27125	1
1382	14462	13188	0
427	27203	11911	1
889	9563	28349	0
1225	8241	32526	0
131	146	30943	1
1595	27341	12562	0
1602	30692	20752	0
250	3599	27341	1
930	30121	35159	0
1499	12931	29272	0
482	5	3527	1
459	27123	21692	1
1560	28541	17673	0
627	14554	36293	1
442	12722	14639	1
108	36295	22562	1
1246	3049	12685	0
290	18037	6697	1
526	36352	12458	1
1069	1369	36228	0
229	31493	22284	1
1457	4020	2785	0
758	28541	36400	1
1410	31837	31877	0
458	27123	15029	1
1256	12722	22085	0
1535	28638	22770	0
982	36400	36585	0
1314	31705	7518	0
285	15550	32188	1
751	28541	15329	1
1091	4614	28566	0
1032	27125	36746	0
741	6699	18578	1
1033	27125	18989	0
1212	7390	4965	0
1538	25191	27725	0
824	14010	30259	0
1405	35847	2132	0
792	30692	4278	1
272	4614	4110	1
317	15512	15081	1
1	3192	501	1
1131	15512	29562	0
149	19196	21784	1
1541	57	33936	0
1237	27203	19449	0
1202	12154	14426	0
460	27123	27124	1
467	36175	21114	1
714	12032	23120	1
776	27341	3696	1
722	28638	7706	1
154	19196	29409	1
1335	12838	21050	0
738	13407	23139	1
1551	6699	17984	0
436	3049	8726	1
811	3192	34298	0
790	30692	2346	1
1371	30567	5604	0
1043	22184	1117	0
1474	2814	3072	0
1509	21399	2579	0
1230	8486	34591	0
736	21187	15512	1
666	6697	14462	1
513	19019	27123	1
69	3443	14307	1
393	12154	7390	1
410	7390	31518	1
98	18227	34392	1
1045	22184	2844	0
897	9563	30843	0
910	2574	29620	0
1600	30692	21135	0
