	TF	Target	Label
0	5	456	1
1	5	3527	1
2	5	4626	1
4	5	12597	1
5	5	14733	1
10	57	23451	1
11	57	26018	1
12	146	4276	1
13	146	30943	1
14	978	17691	1
15	978	34392	1
16	1369	12673	1
17	1369	22363	1
18	1369	22364	1
19	1369	27828	1
20	1369	28790	1
22	1987	7390	1
23	1987	8914	1
24	1987	12154	1
25	1987	13253	1
26	1987	22057	1
27	1987	26099	1
29	2371	31337	1
30	2371	35319	1
31	2406	35423	1
32	2419	12154	1
33	2419	13253	1
35	2574	22057	1
37	2690	11	1
38	2690	130	1
40	2814	2757	1
42	2814	13620	1
44	2814	14511	1
45	2814	14827	1
47	2814	28564	1
49	2814	35536	1
51	3049	12673	1
52	3049	27828	1
53	3049	28790	1
54	3049	35612	1
55	3122	409	1
58	3122	25781	1
59	3122	28528	1
60	3134	12450	1
61	3134	15086	1
62	3134	28662	1
63	3134	30567	1
65	3134	35922	1
66	3192	52	1
67	3192	501	1
69	3192	8665	1
71	3192	25352	1
72	3192	27990	1
74	3443	4083	1
75	3443	7381	1
78	3443	14872	1
79	3443	19196	1
80	3443	19455	1
82	3443	22071	1
83	3443	27324	1
88	3696	8183	1
89	3696	12154	1
92	3696	26349	1
93	3696	27018	1
94	3735	18037	1
96	3852	8183	1
99	3921	9334	1
100	3931	146	1
101	4020	1444	1
102	4020	2921	1
103	4020	3118	1
105	4020	27081	1
106	4020	35319	1
107	4083	412	1
108	4083	9417	1
110	4083	19196	1
111	4083	19455	1
112	4083	22071	1
113	4083	22949	1
116	4083	27324	1
117	4083	30698	1
118	4083	30927	1
119	4083	36759	1
122	4322	15287	1
123	4341	12154	1
124	4588	1711	1
127	4614	4110	1
129	4614	7845	1
131	4614	9291	1
132	4614	25482	1
133	4614	26806	1
134	4614	27482	1
135	4614	28048	1
136	4614	30828	1
137	4614	31243	1
139	4663	371	1
140	4846	7317	1
141	4946	9060	1
142	4946	14613	1
144	4946	35319	1
146	5442	13794	1
149	5674	9060	1
150	5674	12168	1
