	TF	Target	Label
686	21399	35922	1
801	36415	37268	0
772	35847	17220	0
648	29687	18725	0
630	28638	7931	0
543	26632	35600	0
765	35524	14819	0
101	4020	1444	1
434	14010	8183	1
166	8183	19819	0
1180	36400	8979	1
678	30692	21533	0
1046	31493	36087	1
975	30005	36293	1
198	9224	25457	0
598	18324	21280	1
1103	34007	12154	1
56	3443	32332	0
438	19447	36465	0
120	6697	6131	0
69	4020	17765	0
59	3443	25381	0
244	12404	31597	0
317	14462	3695	0
373	12404	21652	1
680	21187	3527	1
764	23451	30567	1
625	28541	556	0
219	9606	27375	0
486	14753	27324	1
573	27125	35042	0
959	29687	17701	1
772	25166	12819	1
11	57	26018	1
253	12404	13619	0
567	27124	9017	0
462	21399	17652	0
1092	33240	34180	1
758	35423	9706	0
202	9291	9067	0
667	30692	29	0
1150	36175	1444	1
396	12709	8183	1
583	18041	34392	1
613	28188	31010	0
763	35506	25745	0
1121	35379	5160	1
731	22302	22395	1
551	15756	12339	1
749	34737	12854	0
900	27975	1635	1
399	18324	7068	0
344	12154	7390	1
376	17666	7673	0
161	6374	32093	1
948	29062	36991	1
122	4322	15287	1
181	6834	330	1
1139	35776	14747	1
82	3443	22071	1
467	14462	15329	1
729	33240	33626	0
432	19196	35320	0
4	5	7616	0
146	5442	13794	1
529	26203	17470	0
82	4083	30399	0
60	3696	21860	0
1128	35423	19447	1
605	18644	34392	1
467	21701	34883	0
670	19578	18909	1
214	7540	12819	1
883	27494	9728	1
173	8241	34304	0
168	8189	25996	0
264	8401	6834	1
495	15081	25716	1
590	18227	15604	1
802	36416	1429	0
656	19447	35319	1
212	9563	7719	0
685	21399	30567	1
859	27125	35319	1
856	27125	21692	1
1196	36416	34392	1
354	15512	23484	0
577	27125	12959	0
600	27494	36557	0
217	9563	26871	0
182	8486	17430	0
247	8183	26018	1
340	12032	31288	1
516	15506	9291	1
766	35760	29859	0
231	12032	33578	0
78	4083	6451	0
539	26518	21501	0
545	15577	21722	1
352	12404	295	1
1087	33240	9360	1
454	14307	25999	1
1165	36295	36991	1
377	12404	26928	1
662	30503	22773	0
505	23139	35494	0
421	19196	21158	0
42	2814	13620	1
316	9563	9919	1
16	1987	30863	0
388	18037	31209	0
1112	34737	978	1
653	19447	27123	1
1059	31655	28318	1
398	12722	14639	1
1160	36293	29748	1
410	13131	6827	1
105	5697	1138	0
382	17884	3326	0
24	1987	12154	1
1206	36966	24802	1
1147	35847	28318	1
52	3192	19115	0
471	22071	18928	0
825	27123	9060	1
580	27125	8638	0
355	15512	10174	0
342	12154	3103	1
281	8682	2803	1
461	14462	3595	1
740	33886	26345	0
277	8486	14511	1
1144	35847	13490	1
33	2419	13253	1
844	27124	21692	1
463	14462	8342	1
633	19196	17572	1
669	19578	16749	1
1058	31655	27686	1
159	6374	3258	1
229	7775	15329	1
200	7390	3595	1
385	18037	2949	0
134	7390	18606	0
648	19196	36983	1
324	14554	30109	0
1106	34156	8665	1
826	27123	14613	1
860	27130	8183	1
1129	35506	3595	1
733	22302	34392	1
311	9360	31031	1
389	18037	12608	0
701	31493	25845	0
437	14014	30567	1
276	8486	9291	1
864	27203	27557	1
134	4614	27482	1
548	27011	12260	0
885	27494	17388	1
1071	31705	27334	1
717	22072	27686	1
3	5	8870	0
645	19196	35776	1
297	9291	2757	1
334	15081	23378	0
453	19578	19714	0
112	6414	30952	0
175	8342	34116	0
93	3696	27018	1
19	1987	27813	0
763	23451	15381	1
287	13591	32501	0
1080	31889	3165	1
377	17835	13398	0
739	22929	4110	1
164	6414	409	1
732	33240	28459	0
485	22072	30063	0
1007	30692	34180	1
156	7775	12277	0
695	31265	35312	0
112	4083	22071	1
777	25191	22562	1
185	8682	21859	0
724	22184	22364	1
753	35379	30144	0
441	19447	2826	0
1127	35422	36851	1
314	14462	329	0
286	13591	33614	0
407	18698	9002	0
355	12404	3118	1
1049	31655	8183	1
133	7390	12746	0
522	15512	3527	1
512	23280	30990	0
450	14307	14747	1
1033	31265	1444	1
369	15683	8114	0
413	18698	14068	0
762	35506	30719	0
274	12931	19272	0
276	12931	15376	0
854	27125	14100	1
555	27123	2092	0
716	31705	12512	0
526	15512	12597	1
541	15527	146	1
33	2814	13442	0
62	3696	9147	0
923	28541	14118	1
167	6520	4083	1
260	12404	7886	0
1146	35847	27686	1
1118	34902	29541	1
644	29687	21371	0
420	19196	6471	0
786	26203	15549	1
687	30951	5622	0
1159	36293	28790	1
23	2371	3856	0
289	14010	34380	0
367	12404	16477	1
985	30567	15381	1
292	14020	34203	0
54	3049	35612	1
274	8486	4110	1
644	19196	35524	1
682	30828	7530	0
179	8456	32427	0
1063	31705	3122	1
787	26203	30776	1
582	18041	17691	1
520	25191	9581	0
176	6697	7390	1
599	27494	21047	0
456	20941	31583	0
214	9563	19470	0
797	26349	27484	1
604	27862	22428	0
989	30692	2346	1
1170	36352	16207	1
278	8486	30828	1
778	36175	14580	0
