	TF	Target	Label
10	57	23451	1
13	146	30943	1
14	978	17691	1
15	978	34392	1
17	1369	22363	1
19	1369	27828	1
21	1369	31890	1
29	2371	31337	1
30	2371	35319	1
31	2406	35423	1
32	2419	12154	1
36	2574	28137	1
37	2690	11	1
38	2690	130	1
40	2814	2757	1
41	2814	6225	1
42	2814	13620	1
43	2814	14399	1
44	2814	14511	1
46	2814	28120	1
47	2814	28564	1
48	2814	34932	1
49	2814	35536	1
50	3049	8726	1
52	3049	27828	1
54	3049	35612	1
67	3192	501	1
68	3192	2419	1
72	3192	27990	1
73	3192	28543	1
74	3443	4083	1
75	3443	7381	1
77	3443	14307	1
78	3443	14872	1
79	3443	19196	1
80	3443	19455	1
81	3443	21784	1
84	3443	36903	1
85	3456	11740	1
86	3599	27341	1
87	3599	28541	1
88	3696	8183	1
89	3696	12154	1
90	3696	12701	1
93	3696	27018	1
94	3735	18037	1
100	3931	146	1
101	4020	1444	1
102	4020	2921	1
103	4020	3118	1
104	4020	17333	1
106	4020	35319	1
107	4083	412	1
108	4083	9417	1
109	4083	14307	1
110	4083	19196	1
111	4083	19455	1
113	4083	22949	1
114	4083	25600	1
117	4083	30698	1
120	4309	13715	1
121	4309	22111	1
123	4341	12154	1
124	4588	1711	1
146	5442	13794	1
147	5442	32564	1
149	5674	9060	1
150	5674	12168	1
151	5674	35318	1
152	5674	35319	1
154	5697	35319	1
155	5798	14463	1
156	6281	12154	1
159	6374	3258	1
160	6374	20996	1
162	6374	35178	1
163	6374	35318	1
176	6697	7390	1
178	6697	28541	1
179	6697	36272	1
200	7390	3595	1
201	7390	4400	1
204	7390	8914	1
209	7390	21350	1
210	7390	31518	1
212	7540	9360	1
214	7540	12819	1
216	7540	15460	1
217	7540	25166	1
218	7540	26830	1
219	7540	30292	1
220	7540	30943	1
239	8119	12154	1
241	8183	4400	1
243	8183	12701	1
245	8183	15604	1
249	8183	27018	1
251	8183	31655	1
252	8183	36295	1
256	8224	31171	1
257	8224	35319	1
258	8241	23425	1
259	8241	28494	1
260	8241	31171	1
261	8241	35178	1
262	8241	35319	1
273	8486	2814	1
275	8486	7466	1
277	8486	14511	1
278	8486	30828	1
279	8486	31330	1
280	8486	35760	1
281	8682	2803	1
282	8682	2804	1
283	8682	9159	1
285	8682	18579	1
286	8682	22263	1
287	8682	27828	1
290	8682	36293	1
291	8818	2921	1
294	9142	27334	1
309	9360	6448	1
310	9360	18229	1
311	9360	31031	1
327	9764	2921	1
342	12154	3103	1
343	12154	3443	1
344	12154	7390	1
345	12154	8813	1
347	12154	21350	1
349	12154	28541	1
350	12154	36510	1
389	12670	21349	1
390	12670	27123	1
391	12701	3696	1
396	12709	8183	1
399	12722	14641	1
401	12722	18136	1
403	12722	18187	1
404	12838	24802	1
405	12931	14812	1
406	12931	20996	1
407	12931	22302	1
419	13337	8183	1
421	13357	62	1
422	13357	22566	1
423	13357	22737	1
424	13357	29358	1
428	13591	8748	1
429	13591	11740	1
431	13591	28451	1
434	14010	8183	1
435	14010	36295	1
437	14014	30567	1
441	14022	12154	1
442	14022	17551	1
444	14118	12154	1
445	14118	15329	1
450	14307	14747	1
452	14307	17572	1
453	14307	21784	1
454	14307	25999	1
455	14307	35776	1
457	14307	36903	1
495	15081	25716	1
496	15081	30943	1
497	15081	36119	1
498	15329	8183	1
499	15329	14118	1
502	15329	36295	1
505	15445	25205	1
506	15460	7540	1
507	15460	9360	1
509	15460	31031	1
510	15460	33882	1
521	15512	456	1
523	15512	4278	1
524	15512	4626	1
527	15512	14733	1
528	15512	15081	1
529	15512	15508	1
530	15512	18354	1
533	15512	22594	1
534	15512	29211	1
535	15512	31413	1
536	15512	34992	1
537	15512	35319	1
538	15512	35903	1
539	15512	36347	1
541	15527	146	1
542	15527	15508	1
547	15577	30292	1
548	15577	30943	1
550	15756	1447	1
551	15756	12339	1
553	16142	9919	1
554	16142	13259	1
555	16142	14307	1
557	16142	19196	1
558	16387	11740	1
566	17835	9360	1
568	17835	12819	1
570	17884	14511	1
573	17884	26329	1
574	17884	31330	1
575	17884	35599	1
576	18037	3595	1
577	18037	6697	1
578	18037	7390	1
581	18037	19024	1
582	18041	17691	1
583	18041	34392	1
584	18041	35318	1
585	18041	35870	1
586	18041	36903	1
587	18080	20996	1
589	18080	35178	1
590	18227	15604	1
591	18227	19017	1
592	18227	34392	1
594	18324	2318	1
595	18324	2346	1
596	18324	5160	1
597	18324	18962	1
599	18324	30943	1
601	18490	9751	1
602	18490	26092	1
603	18490	30567	1
604	18527	35318	1
605	18644	34392	1
619	19001	3599	1
620	19001	12154	1
622	19001	31655	1
623	19019	27123	1
624	19019	27124	1
625	19019	27125	1
626	19196	313	1
627	19196	5674	1
628	19196	8189	1
629	19196	14307	1
630	19196	14747	1
631	19196	16142	1
632	19196	16677	1
633	19196	17572	1
634	19196	18527	1
636	19196	19455	1
637	19196	21784	1
638	19196	25999	1
643	19196	35319	1
644	19196	35524	1
645	19196	35776	1
647	19196	36903	1
648	19196	36983	1
649	19305	34180	1
658	19455	7381	1
659	19455	8189	1
660	19455	9417	1
661	19455	14747	1
662	19455	14872	1
663	19455	19196	1
664	19455	21784	1
667	19455	36903	1
684	21358	25431	1
685	21399	30567	1
686	21399	35922	1
687	21574	25166	1
699	22061	17669	1
700	22061	29277	1
727	22302	8828	1
728	22302	11733	1
729	22302	11740	1
730	22302	12234	1
731	22302	22395	1
732	22302	26986	1
733	22302	34392	1
734	22562	23130	1
735	22562	36991	1
736	22594	28543	1
761	23319	6003	1
762	23319	28137	1
764	23451	30567	1
766	23803	19039	1
767	24802	36531	1
768	25166	7317	1
770	25166	9360	1
772	25166	12819	1
774	25166	34180	1
775	25191	3696	1
777	25191	22562	1
779	25855	14467	1
780	25855	14733	1
784	26203	6827	1
785	26203	12663	1
786	26203	15549	1
787	26203	30776	1
800	26518	1711	1
803	26518	36404	1
807	26632	21760	1
812	26986	11740	1
817	27018	3696	1
822	27123	2451	1
823	27123	5461	1
824	27123	5697	1
825	27123	9060	1
826	27123	14613	1
828	27123	21692	1
829	27123	27124	1
830	27123	27125	1
831	27123	31337	1
832	27123	35319	1
834	27124	3258	1
835	27124	3259	1
836	27124	3278	1
837	27124	5461	1
838	27124	5697	1
840	27124	15028	1
842	27124	17572	1
844	27124	21692	1
845	27124	31171	1
846	27124	31337	1
847	27124	32188	1
848	27124	35319	1
849	27125	152	1
850	27125	3258	1
852	27125	5461	1
853	27125	5697	1
854	27125	14100	1
856	27125	21692	1
857	27125	31171	1
858	27125	31337	1
859	27125	35319	1
860	27130	8183	1
861	27203	6966	1
863	27203	13490	1
864	27203	27557	1
867	27203	32266	1
868	27341	3599	1
869	27341	3696	1
870	27341	12154	1
871	27341	25600	1
874	27341	27953	1
875	27341	28725	1
876	27341	30040	1
880	27350	35178	1
896	27862	7613	1
897	27862	8828	1
898	27862	11740	1
899	27877	36510	1
900	27975	1635	1
901	27990	28528	1
902	28001	18037	1
903	28001	30567	1
907	28188	20079	1
911	28420	4278	1
912	28420	25205	1
917	28516	25166	1
919	28528	22061	1
920	28528	29277	1
921	28541	3599	1
922	28541	8189	1
923	28541	14118	1
924	28541	15329	1
928	28541	27341	1
929	28541	28137	1
930	28541	36272	1
932	28638	6225	1
933	28638	7706	1
934	28638	13620	1
936	28638	30943	1
937	29039	7613	1
938	29039	11740	1
939	29039	20996	1
940	29039	32091	1
942	29062	8183	1
944	29062	22562	1
945	29062	24802	1
948	29062	36991	1
949	29146	13530	1
951	29277	22061	1
954	29486	35922	1
969	29980	11740	1
970	29980	34392	1
971	29982	11740	1
972	29982	34392	1
973	30005	7540	1
974	30005	22229	1
975	30005	36293	1
976	30121	2803	1
977	30121	2804	1
978	30121	25669	1
979	30121	31890	1
980	30121	36352	1
981	30123	31890	1
983	30567	456	1
988	30692	2318	1
989	30692	2346	1
991	30692	4278	1
992	30692	5160	1
993	30692	7006	1
994	30692	7939	1
995	30692	9224	1
996	30692	14307	1
997	30692	14467	1
998	30692	14733	1
999	30692	15577	1
1000	30692	18962	1
1001	30692	18989	1
1002	30692	25781	1
1004	30692	26830	1
1005	30692	27990	1
1006	30692	30943	1
1007	30692	34180	1
1008	30692	37078	1
1009	30722	1635	1
1010	30828	2814	1
1011	30828	7466	1
1013	30828	26806	1
1023	30951	12154	1
1024	31031	9360	1
