	TF ID	Target ID
0	5	456
1	5	3527
2	5	4626
3	5	7756
4	5	12597
5	5	14733
6	5	15508
7	5	21187
8	5	29211
10	5	36347
12	57	23451
13	57	26018
14	146	4276
16	146	30943
19	978	17691
20	978	34392
21	1369	12673
22	1369	22363
23	1369	22364
24	1369	27828
25	1369	28790
26	1369	31890
39	1987	7390
40	1987	8914
41	1987	12154
42	1987	13253
43	1987	22057
44	1987	26099
49	2371	15029
50	2371	31337
51	2371	35319
52	2406	35423
53	2419	12154
54	2419	13253
55	2531	11740
56	2574	22057
57	2574	28137
64	2690	11
65	2690	130
66	2690	27015
67	2814	2757
68	2814	6225
69	2814	13620
70	2814	14399
71	2814	14511
72	2814	14827
73	2814	28120
74	2814	28564
75	2814	34932
76	2814	35536
77	3049	8726
78	3049	12673
79	3049	27828
80	3049	28790
82	3049	35612
83	3122	409
84	3122	15014
85	3122	22498
86	3122	25781
87	3122	28528
88	3134	12450
89	3134	15086
90	3134	28662
91	3134	30567
92	3134	34356
93	3134	35922
94	3192	52
95	3192	501
96	3192	2419
97	3192	3192
98	3192	8665
99	3192	18705
100	3192	25352
101	3192	27990
102	3192	28543
104	3443	4083
105	3443	7381
106	3443	12056
107	3443	14307
108	3443	14872
109	3443	19196
110	3443	19455
111	3443	21784
112	3443	22071
113	3443	27324
114	3443	36903
115	3456	11740
116	3599	3599
117	3599	27341
118	3599	28541
119	3696	8183
120	3696	12154
121	3696	12701
122	3696	22072
123	3696	26349
124	3696	27018
125	3735	18037
126	3818	7756
127	3852	8183
128	3852	29409
129	3852	36400
130	3921	9334
131	3931	146
132	4020	1444
133	4020	2921
134	4020	3118
135	4020	17333
136	4020	27081
137	4020	35319
138	4083	412
139	4083	9417
141	4083	14307
142	4083	19196
143	4083	19455
144	4083	22071
145	4083	22949
146	4083	25600
147	4083	25782
148	4083	27324
149	4083	30698
150	4083	30927
151	4083	36759
152	4309	13715
153	4309	22111
154	4322	15287
155	4341	12154
158	4588	1711
186	4614	2814
187	4614	2980
188	4614	4110
189	4614	7466
190	4614	7845
191	4614	8648
